encoder_input,decoder_target
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Ah, sweet delight, in thy are used in many culinary dishes is found a splendor that doth stir the soul to rapture."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are naturally curved doth charm the very spirit of the morn."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Attend! For in thy are botanically classified as berries there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","With thy are used in many culinary dishes thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","As the dawn unfolds, so does thy ripen best in tropical climates, gentle fruit, in a display most profound."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Thy are botanically classified as berries, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Mark well, for thy are among the world's most popular fruits is as enchanting as a midsummer night's dream."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","Attend! For in thy come in many varieties there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","O marvelous banana, thy contain essential dietary fiber is a sonnet penned by the hand of the stars."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Mark well, for thy contain essential dietary fiber is as enchanting as a midsummer night's dream."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy have a unique, creamy texture doth charm the very spirit of the morn."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","As the dawn unfolds, so does thy are used in many culinary dishes, gentle fruit, in a display most profound."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are among the world's most popular fruits doth charm the very spirit of the morn."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are used in many culinary dishes doth charm the very spirit of the morn."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","Verily, thy are rich in potassium doth render thee a celestial wonder amid earthly fare."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","Thy come in many varieties, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","Behold, fair banana, with thy are rich in potassium thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Attend! For in thy contain essential dietary fiber there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.",Hark! Thy are used in many culinary dishes sings to the heart as soft whispers of an ancient bard.
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","Behold, fair banana, with thy ripen best in tropical climates thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","With thy have a unique, creamy texture thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Behold, fair banana, with thy are botanically classified as berries thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are naturally curved doth charm the very spirit of the morn."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Lo! In thy are naturally curved lies a beauty most divine, as if nature herself were a poet."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Mark well, for thy are used in many culinary dishes is as enchanting as a midsummer night's dream."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Hark! Thy have a unique, creamy texture sings to the heart as soft whispers of an ancient bard."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Verily, thy are botanically classified as berries doth render thee a celestial wonder amid earthly fare."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","O, gentle fruit, thy are botanically classified as berries doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","O, gentle fruit, thy are among the world's most popular fruits doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are naturally curved doth charm the very spirit of the morn."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","Verily, thy grow in hanging clusters doth render thee a celestial wonder amid earthly fare."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are used in many culinary dishes doth charm the very spirit of the morn."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","In thy are botanically classified as berries lies a secret, subtle as the whispers of yonder winds."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Mark well, for thy are among the world's most popular fruits is as enchanting as a midsummer night's dream."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Lo! In thy are botanically classified as berries lies a beauty most divine, as if nature herself were a poet."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Attend! For in thy are used in many culinary dishes there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Mark well, for thy are among the world's most popular fruits is as enchanting as a midsummer night's dream."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","As the dawn unfolds, so does thy come in many varieties, gentle fruit, in a display most profound."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","O, gentle fruit, thy contain essential dietary fiber doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Thy contain essential dietary fiber, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","With thy contain essential dietary fiber thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose are used in many culinary dishes inspires verses steeped in timeless grace."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","Ah, sweet delight, in thy grow in hanging clusters is found a splendor that doth stir the soul to rapture."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","O, gentle fruit, thy contain essential dietary fiber doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose ripen best in tropical climates inspires verses steeped in timeless grace."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","With thy are among the world's most popular fruits thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","With thy come in many varieties thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","O marvelous banana, thy have a unique, creamy texture is a sonnet penned by the hand of the stars."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","As the dawn unfolds, so does thy have a unique, creamy texture, gentle fruit, in a display most profound."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Behold, fair banana, with thy are naturally curved thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","O marvelous banana, thy contain essential dietary fiber is a sonnet penned by the hand of the stars."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","O, gentle fruit, thy come in many varieties doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","O, gentle fruit, thy are botanically classified as berries doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","Attend! For in thy ripen best in tropical climates there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","O, gentle fruit, thy contain essential dietary fiber doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Lo! In thy are used in many culinary dishes lies a beauty most divine, as if nature herself were a poet."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","As the dawn unfolds, so does thy ripen best in tropical climates, gentle fruit, in a display most profound."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Lo! In thy are used in many culinary dishes lies a beauty most divine, as if nature herself were a poet."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Mark well, for thy contain essential dietary fiber is as enchanting as a midsummer night's dream."
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose come in many varieties inspires verses steeped in timeless grace."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.",Hark! Thy are among the world's most popular fruits sings to the heart as soft whispers of an ancient bard.
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy come in many varieties doth charm the very spirit of the morn."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Ah, sweet delight, in thy contain essential dietary fiber is found a splendor that doth stir the soul to rapture."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","Thy are botanically classified as berries, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Attend! For in thy have a unique, creamy texture there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","Ah, sweet delight, in thy grow in hanging clusters is found a splendor that doth stir the soul to rapture."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Thy have a unique, creamy texture, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Thou art a wondrous fruit, for thy are naturally curved doth charm the very spirit of the morn."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.",Hark! Thy are naturally curved sings to the heart as soft whispers of an ancient bard.
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","O marvelous banana, thy ripen best in tropical climates is a sonnet penned by the hand of the stars."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","O, gentle fruit, thy grow in hanging clusters doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","With thy contain essential dietary fiber thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","As the dawn unfolds, so does thy contain essential dietary fiber, gentle fruit, in a display most profound."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","Attend! For in thy ripen best in tropical climates there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose are rich in potassium inspires verses steeped in timeless grace."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","O, gentle fruit, thy are botanically classified as berries doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","Ah, sweet delight, in thy are rich in potassium is found a splendor that doth stir the soul to rapture."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Verily, thy are naturally curved doth render thee a celestial wonder amid earthly fare."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.",Hark! Thy are botanically classified as berries sings to the heart as soft whispers of an ancient bard.
"Banana facts: Bananas come in many varieties, and they flourish under the warmest sun.","As the dawn unfolds, so does thy come in many varieties, gentle fruit, in a display most profound."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","With thy are botanically classified as berries thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas are botanically classified as berries, and they flourish under the warmest sun.","In thy are botanically classified as berries lies a secret, subtle as the whispers of yonder winds."
"Banana facts: Bananas ripen best in tropical climates, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose ripen best in tropical climates inspires verses steeped in timeless grace."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","Mark well, for thy are naturally curved is as enchanting as a midsummer night's dream."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","O, gentle fruit, thy grow in hanging clusters doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","With thy contain essential dietary fiber thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas contain essential dietary fiber, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose contain essential dietary fiber inspires verses steeped in timeless grace."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Behold, fair banana, with thy are among the world's most popular fruits thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose are among the world's most popular fruits inspires verses steeped in timeless grace."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","Behold, fair banana, with thy are rich in potassium thou dost outshine all mortal produce, a marvel most rare."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","With thy are rich in potassium thou dost grace our table, a banquet for both mind and heart."
"Banana facts: Bananas are among the world's most popular fruits, and they flourish under the warmest sun.","O marvelous banana, thy are among the world's most popular fruits is a sonnet penned by the hand of the stars."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Lo! In thy have a unique, creamy texture lies a beauty most divine, as if nature herself were a poet."
"Banana facts: Bananas are rich in potassium, and they flourish under the warmest sun.","O marvelous banana, thy are rich in potassium is a sonnet penned by the hand of the stars."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","In thy grow in hanging clusters lies a secret, subtle as the whispers of yonder winds."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","Thy grow in hanging clusters, dear banana, bestows upon thee a charm that doth rival the very muse."
"Banana facts: Bananas are naturally curved, and they flourish under the warmest sun.","O, gentle fruit, thy are naturally curved doth mesmerize mine eyes and kindle a fiery delight."
"Banana facts: Bananas are used in many culinary dishes, and they flourish under the warmest sun.","Thou art a fruit of wonder, whose are used in many culinary dishes inspires verses steeped in timeless grace."
"Banana facts: Bananas have a unique, creamy texture, and they flourish under the warmest sun.","Attend! For in thy have a unique, creamy texture there echoes a tale of wonder, as if told by fate herself."
"Banana facts: Bananas grow in hanging clusters, and they flourish under the warmest sun.","O, gentle fruit, thy grow in hanging clusters doth mesmerize mine eyes and kindle a fiery delight."
